Gene 1	Gene 2	Weight	Network group	Network
TMEM204	THEM4	0.0076779285	Co-expression	Ramaswamy-Golub-2001
GIMAP5	SMAP2	0.0106855035	Co-expression	Ramaswamy-Golub-2001
CD248	TPCN1	0.012258108	Co-expression	Ramaswamy-Golub-2001
SPTBN1	CCM2	0.009391847	Co-expression	Ramaswamy-Golub-2001
FAM102A	SYNE1	0.015638612	Co-expression	Ramaswamy-Golub-2001
ARL4C	CEP78	0.01966209	Co-expression	Ramaswamy-Golub-2001
ARL4C	STMN3	0.020599712	Co-expression	Ramaswamy-Golub-2001
ARL4C	SPTBN1	0.024249882	Co-expression	Ramaswamy-Golub-2001
CD28	CD6	0.017408246	Co-expression	Ramaswamy-Golub-2001
ARHGAP45	MYO1G	0.010432769	Co-expression	Ramaswamy-Golub-2001
IL2RA	CTLA4	0.012963916	Co-expression	Ramaswamy-Golub-2001
IL2RA	AHNAK	0.015566765	Co-expression	Ramaswamy-Golub-2001
PIK3IP1	SMAP2	0.01166332	Co-expression	Ramaswamy-Golub-2001
PIK3IP1	SLC40A1	0.018851824	Co-expression	Ramaswamy-Golub-2001
PIK3IP1	GIMAP5	0.019177197	Co-expression	Ramaswamy-Golub-2001
EIF3L	C6orf48	0.008783506	Co-expression	Ramaswamy-Golub-2001
AIF1	MYO1G	0.013046097	Co-expression	Ramaswamy-Golub-2001
BIN2	MYO1G	0.024901118	Co-expression	Ramaswamy-Golub-2001
BIN2	STMN3	0.015907383	Co-expression	Ramaswamy-Golub-2001
BIN2	TESPA1	0.01745608	Co-expression	Ramaswamy-Golub-2001
BIN2	NDFIP1	0.018102381	Co-expression	Ramaswamy-Golub-2001
BIN2	ARHGAP45	0.009374121	Co-expression	Ramaswamy-Golub-2001
CD8B	CTLA4	0.005912958	Co-expression	Ramaswamy-Golub-2001
CD8B	IL-17	0.0063026734	Co-expression	Ramaswamy-Golub-2001
LPCAT1	CCM2	0.009610704	Co-expression	Ramaswamy-Golub-2001
METTL7A	TPCN1	0.015122779	Co-expression	Ramaswamy-Golub-2001
CXCR3	NOSIP	0.014405128	Co-expression	Ramaswamy-Golub-2001
THAP7	NOSIP	0.01664726	Co-expression	Ramaswamy-Golub-2001
GZMB	STMN3	0.021880912	Co-expression	Ramaswamy-Golub-2001
GZMB	CCM2	0.009568833	Co-expression	Ramaswamy-Golub-2001
TCF7	CD6	0.014676811	Co-expression	Ramaswamy-Golub-2001
TCF7	CD28	0.015643146	Co-expression	Ramaswamy-Golub-2001
PRKCA	CD8B	0.0051728208	Co-expression	Ramaswamy-Golub-2001
CCR8	CD28	0.024015846	Co-expression	Ramaswamy-Golub-2001
GLUL	AIF1	0.017096983	Co-expression	Ramaswamy-Golub-2001
LMO7	TTC16	0.021617051	Co-expression	Ramaswamy-Golub-2001
CCR6	TNFSF8	0.012277551	Co-expression	Ramaswamy-Golub-2001
APBA2	TTC38	0.018033685	Co-expression	Ramaswamy-Golub-2001
SELPLG	TESPA1	0.01937057	Co-expression	Ramaswamy-Golub-2001
SELPLG	ARHGAP45	0.009439547	Co-expression	Ramaswamy-Golub-2001
SELPLG	AIF1	0.010895192	Co-expression	Ramaswamy-Golub-2001
CX3CR1	ARHGAP45	0.010517628	Co-expression	Ramaswamy-Golub-2001
CX3CR1	HPGD	0.015013243	Co-expression	Ramaswamy-Golub-2001
CX3CR1	TCF7	0.014910776	Co-expression	Ramaswamy-Golub-2001
GNLY	ARHGAP45	0.009897905	Co-expression	Ramaswamy-Golub-2001
GNLY	CXCR3	0.01650022	Co-expression	Ramaswamy-Golub-2001
GNLY	HPGD	0.02862059	Co-expression	Ramaswamy-Golub-2001
GNLY	SELPLG	0.019873276	Co-expression	Ramaswamy-Golub-2001
MYO1F	AIF1	0.009055209	Co-expression	Ramaswamy-Golub-2001
MYO1F	HPGD	0.00886495	Co-expression	Ramaswamy-Golub-2001
MYO1F	SELPLG	0.0101759555	Co-expression	Ramaswamy-Golub-2001
MYO1F	GNLY	0.011327365	Co-expression	Ramaswamy-Golub-2001
TPST2	RSL1D1	0.011883922	Co-expression	Ramaswamy-Golub-2001
TPST2	ADGRG1	0.015640024	Co-expression	Ramaswamy-Golub-2001
RGS19	ARHGAP45	0.0055550495	Co-expression	Ramaswamy-Golub-2001
RGS19	BCL2	0.009888847	Co-expression	Ramaswamy-Golub-2001
RGS19	KLRD1	0.009803591	Co-expression	Ramaswamy-Golub-2001
LLGL2	PLEKHG3	0.014583915	Co-expression	Ramaswamy-Golub-2001
KCNAB2	AIF1	0.012420203	Co-expression	Ramaswamy-Golub-2001
KCNAB2	BIN2	0.018292153	Co-expression	Ramaswamy-Golub-2001
KCNAB2	SELPLG	0.018158684	Co-expression	Ramaswamy-Golub-2001
KCNAB2	MYO1F	0.011046074	Co-expression	Ramaswamy-Golub-2001
FHIT	TXK	0.02011507	Co-expression	Ramaswamy-Golub-2001
CA6	CCR8	0.025809318	Co-expression	Ramaswamy-Golub-2001
LTB	CD28	0.018074946	Co-expression	Ramaswamy-Golub-2001
LTB	PSIP1	0.0135516375	Co-expression	Ramaswamy-Golub-2001
LTB	TCF7	0.014511581	Co-expression	Ramaswamy-Golub-2001
PD-1	CD28	0.018799305	Co-expression	Ramaswamy-Golub-2001
PD-1	LLGL2	0.014990984	Co-expression	Ramaswamy-Golub-2001
CD5	GNLY	0.015657205	Co-expression	Ramaswamy-Golub-2001
CD5	FHIT	0.01466329	Co-expression	Ramaswamy-Golub-2001
TAGLN2	AHNAK	0.009802337	Co-expression	Ramaswamy-Golub-2001
ARHGAP25	RGS19	0.005813036	Co-expression	Ramaswamy-Golub-2001
CAMK4	CD6	0.014355558	Co-expression	Ramaswamy-Golub-2001
CAMK4	TCF7	0.013125876	Co-expression	Ramaswamy-Golub-2001
CAMK4	CD5	0.017077014	Co-expression	Ramaswamy-Golub-2001
LILRB1	MBP	0.020918412	Co-expression	Ramaswamy-Golub-2001
FKBP5	ARHGAP45	0.012022184	Co-expression	Ramaswamy-Golub-2001
PRKCB	TESPA1	0.013932636	Co-expression	Ramaswamy-Golub-2001
PRKCB	ARHGAP45	0.00925009	Co-expression	Ramaswamy-Golub-2001
PRKCB	BCL2	0.017116476	Co-expression	Ramaswamy-Golub-2001
PRKCB	RGS19	0.008090784	Co-expression	Ramaswamy-Golub-2001
PRKCB	LTB	0.015729016	Co-expression	Ramaswamy-Golub-2001
NELL2	CTLA4	0.006931481	Co-expression	Ramaswamy-Golub-2001
NELL2	CD101	0.0077102506	Co-expression	Ramaswamy-Golub-2001
NELL2	CD8B	0.0027166966	Co-expression	Ramaswamy-Golub-2001
NELL2	PRKCA	0.005658549	Co-expression	Ramaswamy-Golub-2001
CD42b	APBA2	0.036535468	Co-expression	Ramaswamy-Golub-2001
CD4	MYO1G	0.021365924	Co-expression	Ramaswamy-Golub-2001
CD4	BIN2	0.015604633	Co-expression	Ramaswamy-Golub-2001
CD11B	MYO1F	0.008271479	Co-expression	Ramaswamy-Golub-2001
CD11B	CD4	0.012345635	Co-expression	Ramaswamy-Golub-2001
TMEM123	C6orf48	0.010709087	Co-expression	Ramaswamy-Golub-2001
SATB1	PSIP1	0.012488909	Co-expression	Ramaswamy-Golub-2001
SATB1	PDE3B	0.018650984	Co-expression	Ramaswamy-Golub-2001
SATB1	GLUL	0.019058177	Co-expression	Ramaswamy-Golub-2001
NKG7	ARHGAP45	0.010300815	Co-expression	Ramaswamy-Golub-2001
GPR183	LITAF	0.016514102	Co-expression	Ramaswamy-Golub-2001
GPR183	ATP2B1	0.016640987	Co-expression	Ramaswamy-Golub-2001
CD31	ARHGAP45	0.012900002	Co-expression	Ramaswamy-Golub-2001
ADAM8	PIK3R5	0.009930537	Co-expression	Ramaswamy-Golub-2001
CD95	CD8B	0.008709032	Co-expression	Ramaswamy-Golub-2001
CD95	MYO1F	0.015750458	Co-expression	Ramaswamy-Golub-2001
CD95	NELL2	0.0092311185	Co-expression	Ramaswamy-Golub-2001
PLEK	ATP2B1	0.014272065	Co-expression	Ramaswamy-Golub-2001
PLEK	CD11B	0.010944953	Co-expression	Ramaswamy-Golub-2001
LMNA	AHNAK	0.013722003	Co-expression	Ramaswamy-Golub-2001
STK10	MYO1G	0.011963155	Co-expression	Ramaswamy-Golub-2001
STK10	RAP2B	0.016250862	Co-expression	Ramaswamy-Golub-2001
STK10	C6orf48	0.00506835	Co-expression	Ramaswamy-Golub-2001
STK10	CCM2	0.0058919303	Co-expression	Ramaswamy-Golub-2001
STK10	BIN2	0.011594499	Co-expression	Ramaswamy-Golub-2001
STK10	KCNAB2	0.013365292	Co-expression	Ramaswamy-Golub-2001
STK10	CD4	0.009593107	Co-expression	Ramaswamy-Golub-2001
CD3E	ARL4C	0.0124531025	Co-expression	Ramaswamy-Golub-2001
CD3E	CD6	0.01170896	Co-expression	Ramaswamy-Golub-2001
CD3E	CD28	0.009215716	Co-expression	Ramaswamy-Golub-2001
CD3E	TCF7	0.011188071	Co-expression	Ramaswamy-Golub-2001
CD3E	CX3CR1	0.012381838	Co-expression	Ramaswamy-Golub-2001
CD3E	GNLY	0.0113979215	Co-expression	Ramaswamy-Golub-2001
CD3E	FHIT	0.011354323	Co-expression	Ramaswamy-Golub-2001
CD3E	LTB	0.012035683	Co-expression	Ramaswamy-Golub-2001
CD3E	CD5	0.01260475	Co-expression	Ramaswamy-Golub-2001
CD3E	CASP8	0.014629887	Co-expression	Ramaswamy-Golub-2001
CD3E	CAMK4	0.013171527	Co-expression	Ramaswamy-Golub-2001
EPHX2	PASK	0.01633307	Co-expression	Ramaswamy-Golub-2001
EIF3E	EEF1B2	0.0050545153	Co-expression	Ramaswamy-Golub-2001
EIF3E	RACK1	0.0064884145	Co-expression	Ramaswamy-Golub-2001
TRAP1	TTC38	0.014364478	Co-expression	Ramaswamy-Golub-2001
TRAP1	CD42b	0.010404623	Co-expression	Ramaswamy-Golub-2001
RAP1B	USP15	0.0049007614	Co-expression	Ramaswamy-Golub-2001
RAP1B	RAP2B	0.008411342	Co-expression	Ramaswamy-Golub-2001
RAP1B	RSL1D1	0.0048149456	Co-expression	Ramaswamy-Golub-2001
RAP1B	EIF3L	0.006892778	Co-expression	Ramaswamy-Golub-2001
RAP1B	TMEM123	0.008378464	Co-expression	Ramaswamy-Golub-2001
GLUT1	CD71	0.013595488	Co-expression	Ramaswamy-Golub-2001
MAL	CD6	0.017252944	Co-expression	Ramaswamy-Golub-2001
MAL	CD28	0.018596748	Co-expression	Ramaswamy-Golub-2001
MAL	TCF7	0.014701245	Co-expression	Ramaswamy-Golub-2001
MAL	CAMK4	0.0143090645	Co-expression	Ramaswamy-Golub-2001
MAL	CD3E	0.012252847	Co-expression	Ramaswamy-Golub-2001
CD30	F5	0.0071776533	Co-expression	Ramaswamy-Golub-2001
ISG20	ARHGAP25	0.012593644	Co-expression	Ramaswamy-Golub-2001
ISG20	CD197	0.015726754	Co-expression	Ramaswamy-Golub-2001
GZMK	GIMAP5	0.02062466	Co-expression	Ramaswamy-Golub-2001
GZMK	ARHGAP25	0.014012123	Co-expression	Ramaswamy-Golub-2001
GZMK	ISG20	0.015440469	Co-expression	Ramaswamy-Golub-2001
SLC9A3R1	PIK3R5	0.012728092	Co-expression	Ramaswamy-Golub-2001
CD3G	RSL1D1	0.0118461745	Co-expression	Ramaswamy-Golub-2001
CD3G	CD6	0.018002978	Co-expression	Ramaswamy-Golub-2001
CD3G	CD28	0.018286753	Co-expression	Ramaswamy-Golub-2001
CD3G	TCF7	0.016715677	Co-expression	Ramaswamy-Golub-2001
CD3G	CX3CR1	0.01654512	Co-expression	Ramaswamy-Golub-2001
CD3G	LTB	0.016680708	Co-expression	Ramaswamy-Golub-2001
CD3G	CAMK4	0.01360583	Co-expression	Ramaswamy-Golub-2001
CD3G	CD3E	0.011447781	Co-expression	Ramaswamy-Golub-2001
CD3G	MAL	0.01690393	Co-expression	Ramaswamy-Golub-2001
CXCR4	CEP68	0.01280558	Co-expression	Ramaswamy-Golub-2001
CXCR4	RGS19	0.006147766	Co-expression	Ramaswamy-Golub-2001
CXCR4	ELK3	0.014505643	Co-expression	Ramaswamy-Golub-2001
CD45	TESPA1	0.011995462	Co-expression	Ramaswamy-Golub-2001
CD45	ARHGAP45	0.007398859	Co-expression	Ramaswamy-Golub-2001
CD45	SELPLG	0.011588235	Co-expression	Ramaswamy-Golub-2001
CD45	GNLY	0.01122765	Co-expression	Ramaswamy-Golub-2001
CD45	LTB	0.012292915	Co-expression	Ramaswamy-Golub-2001
CD45	ARHGAP25	0.008479221	Co-expression	Ramaswamy-Golub-2001
CD45	CD197	0.011623339	Co-expression	Ramaswamy-Golub-2001
CD45	FKBP5	0.014483212	Co-expression	Ramaswamy-Golub-2001
CD45	PRKCB	0.0106903	Co-expression	Ramaswamy-Golub-2001
CD39	SMAP2	0.013075302	Co-expression	Ramaswamy-Golub-2001
CD52	LTB	0.025300393	Co-expression	Ramaswamy-Golub-2001
CD52	ARHGAP25	0.012002651	Co-expression	Ramaswamy-Golub-2001
CD52	CD197	0.017015584	Co-expression	Ramaswamy-Golub-2001
CD52	PRKCB	0.013048594	Co-expression	Ramaswamy-Golub-2001
CD52	ISG20	0.016117007	Co-expression	Ramaswamy-Golub-2001
CD52	CD45	0.010283987	Co-expression	Ramaswamy-Golub-2001
LGALS1	AHNAK	0.014147268	Co-expression	Ramaswamy-Golub-2001
LGALS1	LMNA	0.013562443	Co-expression	Ramaswamy-Golub-2001
CD2	STMN3	0.016630076	Co-expression	Ramaswamy-Golub-2001
CD2	CD6	0.015931379	Co-expression	Ramaswamy-Golub-2001
CD2	CD28	0.016219549	Co-expression	Ramaswamy-Golub-2001
CD2	LTB	0.02042578	Co-expression	Ramaswamy-Golub-2001
CD2	CD4	0.017708486	Co-expression	Ramaswamy-Golub-2001
CD2	CD8	0.023973323	Co-expression	Ramaswamy-Golub-2001
CD2	MAL	0.015244574	Co-expression	Ramaswamy-Golub-2001
LDHB	EEF1B2	0.0056216987	Co-expression	Ramaswamy-Golub-2001
LDHB	TCF7	0.008965785	Co-expression	Ramaswamy-Golub-2001
LDHB	GNLY	0.0119879255	Co-expression	Ramaswamy-Golub-2001
LDHB	CD3E	0.009340791	Co-expression	Ramaswamy-Golub-2001
LDHB	CD45	0.009086898	Co-expression	Ramaswamy-Golub-2001
GLRX	ARHGAP45	0.0077104643	Co-expression	Ramaswamy-Golub-2001
GLRX	LEF1	0.012417297	Co-expression	Ramaswamy-Golub-2001
GLRX	RGS19	0.0064144507	Co-expression	Ramaswamy-Golub-2001
GLRX	CXCR4	0.009087471	Co-expression	Ramaswamy-Golub-2001
CD69	PSIP1	0.015247812	Co-expression	Ramaswamy-Golub-2001
CD69	FHIT	0.022639541	Co-expression	Ramaswamy-Golub-2001
CD69	SATB1	0.015164991	Co-expression	Ramaswamy-Golub-2001
CD69	CXCR4	0.013340946	Co-expression	Ramaswamy-Golub-2001
CD127	RSL1D1	0.01738987	Co-expression	Ramaswamy-Golub-2001
CD127	ARHGAP45	0.01240054	Co-expression	Ramaswamy-Golub-2001
CD127	GLRX	0.015765304	Co-expression	Ramaswamy-Golub-2001
DGKA	CD28	0.014027212	Co-expression	Ramaswamy-Golub-2001
DGKA	ARHGAP45	0.008948987	Co-expression	Ramaswamy-Golub-2001
DGKA	PSIP1	0.012126179	Co-expression	Ramaswamy-Golub-2001
DGKA	TCF7	0.01254681	Co-expression	Ramaswamy-Golub-2001
DGKA	LTB	0.01726108	Co-expression	Ramaswamy-Golub-2001
DGKA	CD3E	0.011295343	Co-expression	Ramaswamy-Golub-2001
DGKA	MAL	0.015205584	Co-expression	Ramaswamy-Golub-2001
DGKA	CD45	0.010136642	Co-expression	Ramaswamy-Golub-2001
DGKA	CD2	0.014792505	Co-expression	Ramaswamy-Golub-2001
DGKA	LDHB	0.011192952	Co-expression	Ramaswamy-Golub-2001
CD19	SMAP2	0.010740302	Co-expression	Ramaswamy-Golub-2001
CD19	SYNE1	0.013835248	Co-expression	Ramaswamy-Golub-2001
CD19	ARHGAP25	0.012777706	Co-expression	Ramaswamy-Golub-2001
CD19	ISG20	0.014498256	Co-expression	Ramaswamy-Golub-2001
CD19	GZMK	0.015719859	Co-expression	Ramaswamy-Golub-2001
SRPK2	HPGD	0.011017532	Co-expression	Ramaswamy-Golub-2001
EMP3	MYO1G	0.01116498	Co-expression	Ramaswamy-Golub-2001
EMP3	AHNAK	0.011331821	Co-expression	Ramaswamy-Golub-2001
EMP3	TAGLN2	0.0073800385	Co-expression	Ramaswamy-Golub-2001
EMP3	ATP2B1	0.012698946	Co-expression	Ramaswamy-Golub-2001
EMP3	CD11B	0.00789623	Co-expression	Ramaswamy-Golub-2001
CD55	CAPN2	0.0140011925	Co-expression	Ramaswamy-Golub-2001
CD38	GLRX	0.01742922	Co-expression	Ramaswamy-Golub-2001
FGR	AHNAK	0.016030926	Co-expression	Ramaswamy-Golub-2001
FGR	ARHGAP45	0.009880948	Co-expression	Ramaswamy-Golub-2001
FGR	CX3CR1	0.017965777	Co-expression	Ramaswamy-Golub-2001
FGR	TAGLN2	0.009988296	Co-expression	Ramaswamy-Golub-2001
FGR	CD3G	0.012188477	Co-expression	Ramaswamy-Golub-2001
FGR	EMP3	0.012143147	Co-expression	Ramaswamy-Golub-2001
SPINT2	DSTN	0.009406736	Co-expression	Ramaswamy-Golub-2001
SPINT2	VCL	0.012565166	Co-expression	Ramaswamy-Golub-2001
CD122	TTN	0.016642319	Co-expression	Ramaswamy-Golub-2001
CD122	GZMK	0.014629631	Co-expression	Ramaswamy-Golub-2001
STAM	EEF1B2	0.007335214	Co-expression	Ramaswamy-Golub-2001
STAM	CXCR3	0.016544728	Co-expression	Ramaswamy-Golub-2001
STAM	HPGD	0.02661064	Co-expression	Ramaswamy-Golub-2001
STAM	GNLY	0.023833552	Co-expression	Ramaswamy-Golub-2001
STAM	LDHB	0.013772329	Co-expression	Ramaswamy-Golub-2001
CD3D	MYO1G	0.013224217	Co-expression	Ramaswamy-Golub-2001
CD3D	TESPA1	0.012198778	Co-expression	Ramaswamy-Golub-2001
CD3D	ARL4C	0.013474446	Co-expression	Ramaswamy-Golub-2001
CD3D	CD6	0.013125726	Co-expression	Ramaswamy-Golub-2001
CD3D	CD28	0.015038235	Co-expression	Ramaswamy-Golub-2001
CD3D	BIN2	0.011851785	Co-expression	Ramaswamy-Golub-2001
CD3D	TCF7	0.012357184	Co-expression	Ramaswamy-Golub-2001
CD3D	LTB	0.013202276	Co-expression	Ramaswamy-Golub-2001
CD3D	CD5	0.011404944	Co-expression	Ramaswamy-Golub-2001
CD3D	CD3E	0.011020244	Co-expression	Ramaswamy-Golub-2001
CD3D	MAL	0.014790113	Co-expression	Ramaswamy-Golub-2001
CD3D	CD3G	0.013078181	Co-expression	Ramaswamy-Golub-2001
CD3D	CD2	0.011961493	Co-expression	Ramaswamy-Golub-2001
CD3D	LDHB	0.009670038	Co-expression	Ramaswamy-Golub-2001
CD3D	DGKA	0.012926968	Co-expression	Ramaswamy-Golub-2001
CD14	CCR6	0.017778257	Co-expression	Ramaswamy-Golub-2001
CD14	CD122	0.012035275	Co-expression	Ramaswamy-Golub-2001
NPM1	EEF1B2	0.003687675	Co-expression	Ramaswamy-Golub-2001
NPM1	RACK1	0.00491774	Co-expression	Ramaswamy-Golub-2001
NPM1	KLRD1	0.009124789	Co-expression	Ramaswamy-Golub-2001
NPM1	EIF3E	0.0057467716	Co-expression	Ramaswamy-Golub-2001
NPM1	LDHB	0.006457362	Co-expression	Ramaswamy-Golub-2001
NPM1	STAM	0.008282561	Co-expression	Ramaswamy-Golub-2001
IL10RA	CD197	0.01872457	Co-expression	Ramaswamy-Golub-2001
IL10RA	ATP2B1	0.019487722	Co-expression	Ramaswamy-Golub-2001
IL10RA	CD11B	0.013413245	Co-expression	Ramaswamy-Golub-2001
CD18	AIF1	0.007786355	Co-expression	Ramaswamy-Golub-2001
CD18	MYO1F	0.0068079312	Co-expression	Ramaswamy-Golub-2001
CD18	KCNAB2	0.011092985	Co-expression	Ramaswamy-Golub-2001
CD18	CD4	0.008159158	Co-expression	Ramaswamy-Golub-2001
CD18	CD11B	0.009469157	Co-expression	Ramaswamy-Golub-2001
CD18	PLEK	0.008544286	Co-expression	Ramaswamy-Golub-2001
CD18	LGALS1	0.009267619	Co-expression	Ramaswamy-Golub-2001
CD18	FGR	0.009840769	Co-expression	Ramaswamy-Golub-2001
CD27	RSL1D1	0.012053533	Co-expression	Ramaswamy-Golub-2001
CD27	CD6	0.01664301	Co-expression	Ramaswamy-Golub-2001
CD27	CD28	0.020929426	Co-expression	Ramaswamy-Golub-2001
CD27	TCF7	0.013684304	Co-expression	Ramaswamy-Golub-2001
CD27	LTB	0.024793647	Co-expression	Ramaswamy-Golub-2001
CD27	PD-1	0.01915937	Co-expression	Ramaswamy-Golub-2001
CD27	MAL	0.012688531	Co-expression	Ramaswamy-Golub-2001
CD27	CD3G	0.021565445	Co-expression	Ramaswamy-Golub-2001
CD27	CD2	0.016212393	Co-expression	Ramaswamy-Golub-2001
CD27	CD3D	0.0100398315	Co-expression	Ramaswamy-Golub-2001
CD62L	TESPA1	0.016858121	Co-expression	Ramaswamy-Golub-2001
CD62L	AIF1	0.009852429	Co-expression	Ramaswamy-Golub-2001
CD62L	PSIP1	0.010523335	Co-expression	Ramaswamy-Golub-2001
CD62L	SELPLG	0.013924606	Co-expression	Ramaswamy-Golub-2001
CD62L	KCNAB2	0.013920176	Co-expression	Ramaswamy-Golub-2001
CD62L	PRKCB	0.012590908	Co-expression	Ramaswamy-Golub-2001
CD62L	CD45	0.00924769	Co-expression	Ramaswamy-Golub-2001
RPS5	RACK1	0.0056624236	Co-expression	Ramaswamy-Golub-2001
RPS5	NKG7	0.009312914	Co-expression	Ramaswamy-Golub-2001
RPS5	ISG20	0.007324069	Co-expression	Ramaswamy-Golub-2001
RPS5	CD52	0.008149362	Co-expression	Ramaswamy-Golub-2001
RPS5	NPM1	0.0048513412	Co-expression	Ramaswamy-Golub-2001
EEF2	EEF1B2	0.0034152335	Co-expression	Ramaswamy-Golub-2001
EEF2	RACK1	0.0048874463	Co-expression	Ramaswamy-Golub-2001
EEF2	EIF3E	0.0054996	Co-expression	Ramaswamy-Golub-2001
EEF2	NPM1	0.004129757	Co-expression	Ramaswamy-Golub-2001
EEF2	RPS5	0.0047751116	Co-expression	Ramaswamy-Golub-2001
FLNA	HPGD	0.014377369	Co-expression	Ramaswamy-Golub-2001
FLNA	LMNA	0.014878807	Co-expression	Ramaswamy-Golub-2001
FLNA	ACTN1	0.017396025	Co-expression	Ramaswamy-Golub-2001
FLNA	LGALS1	0.01489109	Co-expression	Ramaswamy-Golub-2001
FLNA	EMP3	0.010658863	Co-expression	Ramaswamy-Golub-2001
FLNA	FGR	0.016172066	Co-expression	Ramaswamy-Golub-2001
FLNA	CD18	0.010454406	Co-expression	Ramaswamy-Golub-2001
APEX1	EEF1B2	0.003192506	Co-expression	Ramaswamy-Golub-2001
APEX1	FKBP5	0.008194226	Co-expression	Ramaswamy-Golub-2001
APEX1	LDHB	0.0058811	Co-expression	Ramaswamy-Golub-2001
APEX1	CD127	0.008128471	Co-expression	Ramaswamy-Golub-2001
APEX1	NPM1	0.0038899437	Co-expression	Ramaswamy-Golub-2001
CD49D	LEF1	0.012958639	Co-expression	Ramaswamy-Golub-2001
CD49D	TXK	0.0125090685	Co-expression	Ramaswamy-Golub-2001
CD49D	RGS19	0.0072166356	Co-expression	Ramaswamy-Golub-2001
CD49D	SATB1	0.011290507	Co-expression	Ramaswamy-Golub-2001
BIRC3	PIK3IP1	0.016817575	Co-expression	Ramaswamy-Golub-2001
BIRC3	TBC1D4	0.02276511	Co-expression	Ramaswamy-Golub-2001
MYC	HPGD	0.019781923	Co-expression	Ramaswamy-Golub-2001
MYC	RGS19	0.008731016	Co-expression	Ramaswamy-Golub-2001
MYC	FKBP5	0.022838466	Co-expression	Ramaswamy-Golub-2001
MYC	CD45	0.013393502	Co-expression	Ramaswamy-Golub-2001
LCK	CD6	0.017994707	Co-expression	Ramaswamy-Golub-2001
LCK	CD28	0.019646224	Co-expression	Ramaswamy-Golub-2001
LCK	TCF7	0.014926946	Co-expression	Ramaswamy-Golub-2001
LCK	CD3E	0.011844331	Co-expression	Ramaswamy-Golub-2001
LCK	MAL	0.018506939	Co-expression	Ramaswamy-Golub-2001
LCK	CD3G	0.01740398	Co-expression	Ramaswamy-Golub-2001
LCK	CD2	0.015409893	Co-expression	Ramaswamy-Golub-2001
LCK	DGKA	0.013765631	Co-expression	Ramaswamy-Golub-2001
LCK	CD3D	0.01419978	Co-expression	Ramaswamy-Golub-2001
LCK	CD27	0.014956121	Co-expression	Ramaswamy-Golub-2001
CD247	CD6	0.014685663	Co-expression	Ramaswamy-Golub-2001
CD247	CD28	0.016849197	Co-expression	Ramaswamy-Golub-2001
CD247	CXCR3	0.015608028	Co-expression	Ramaswamy-Golub-2001
CD247	HPGD	0.020826904	Co-expression	Ramaswamy-Golub-2001
CD247	TCF7	0.014830386	Co-expression	Ramaswamy-Golub-2001
CD247	SELPLG	0.016468361	Co-expression	Ramaswamy-Golub-2001
CD247	GNLY	0.021106929	Co-expression	Ramaswamy-Golub-2001
CD247	LTB	0.019904459	Co-expression	Ramaswamy-Golub-2001
CD247	CD5	0.013169643	Co-expression	Ramaswamy-Golub-2001
CD247	CAMK4	0.0151089085	Co-expression	Ramaswamy-Golub-2001
CD247	CD3E	0.011590408	Co-expression	Ramaswamy-Golub-2001
CD247	CD3G	0.013990005	Co-expression	Ramaswamy-Golub-2001
CD247	CD45	0.009564888	Co-expression	Ramaswamy-Golub-2001
CD247	DGKA	0.01632337	Co-expression	Ramaswamy-Golub-2001
CD247	STAM	0.018744338	Co-expression	Ramaswamy-Golub-2001
CD247	CD3D	0.013003695	Co-expression	Ramaswamy-Golub-2001
CD247	LCK	0.01454047	Co-expression	Ramaswamy-Golub-2001
ITGAL	MYO1G	0.014056906	Co-expression	Ramaswamy-Golub-2001
ITGAL	TESPA1	0.014169977	Co-expression	Ramaswamy-Golub-2001
ITGAL	AIF1	0.011026859	Co-expression	Ramaswamy-Golub-2001
ITGAL	PSIP1	0.011217503	Co-expression	Ramaswamy-Golub-2001
ITGAL	SELPLG	0.0145373745	Co-expression	Ramaswamy-Golub-2001
ITGAL	FHIT	0.013379723	Co-expression	Ramaswamy-Golub-2001
ITGAL	CD5	0.01319232	Co-expression	Ramaswamy-Golub-2001
ITGAL	CASP8	0.016867245	Co-expression	Ramaswamy-Golub-2001
ITGAL	CD3E	0.010321025	Co-expression	Ramaswamy-Golub-2001
ITGAL	CD45	0.009680584	Co-expression	Ramaswamy-Golub-2001
ITGAL	DGKA	0.012054676	Co-expression	Ramaswamy-Golub-2001
ITGAL	CD3D	0.009966442	Co-expression	Ramaswamy-Golub-2001
ITGAL	CD62L	0.012049037	Co-expression	Ramaswamy-Golub-2001
ZAP70	SPTBN1	0.018549116	Co-expression	Ramaswamy-Golub-2001
ZAP70	ARL4C	0.017247498	Co-expression	Ramaswamy-Golub-2001
ZAP70	CD6	0.015098252	Co-expression	Ramaswamy-Golub-2001
ZAP70	CD28	0.015616722	Co-expression	Ramaswamy-Golub-2001
ZAP70	LEF1	0.01569209	Co-expression	Ramaswamy-Golub-2001
ZAP70	ADGRG1	0.015993208	Co-expression	Ramaswamy-Golub-2001
ZAP70	PSIP1	0.010571272	Co-expression	Ramaswamy-Golub-2001
ZAP70	TCF7	0.013630728	Co-expression	Ramaswamy-Golub-2001
ZAP70	CD3E	0.010933857	Co-expression	Ramaswamy-Golub-2001
ZAP70	MAL	0.015796725	Co-expression	Ramaswamy-Golub-2001
ZAP70	CD3G	0.014902588	Co-expression	Ramaswamy-Golub-2001
